cve_id,compilers,published,last_modified,vulnerability_status,severity,cvss_score,cvss_vector,cwes,affected_products,references,description,source_identifier,matched_queries,collected_at
CVE-2014-7604,Glow,2014-10-20T10:55:12.593,2026-06-17T00:15:26.690,Modified,MEDIUM,5.4,AV:A/AC:M/Au:N/C:P/I:P/A:P,CWE-310,cpe:2.3:a:easy_tips_for_glowing_skin_project:easy_tips_for_glowing_skin:1:*:*:*:*:android:*:*,http://www.kb.cert.org/vuls/id/582497;http://www.kb.cert.org/vuls/id/969257;https://docs.google.com/spreadsheets/d/1t5GXwjw82SyunALVJb2w0zi3FoLRIkfGPc7AMjRF0r4/edit?usp=sharing,"The Easy Tips For Glowing Skin (aka com.n.easytipsforglowingskin) application 1.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",cret@cert.org,Glow,2026-09-21T18:43:55.486544+00:00
CVE-2016-3279,XLA,2016-07-13T01:59:33.610,2026-06-17T00:45:24.980,Modified,MEDIUM,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,CWE-254,cpe:2.3:a:microsoft:excel:2010:sp2:*:*:*:*:*:*;cpe:2.3:a:microsoft:excel:2013:sp1:*:*:*:*:*:*;cpe:2.3:a:microsoft:excel:2016:*:*:*:*:*:*:*;cpe:2.3:a:microsoft:excel_rt:2013:sp1:*:*:*:*:*:*;cpe:2.3:a:microsoft:office:2010:sp2:*:*:*:*:*:*;cpe:2.3:a:microsoft:office_web_apps:2010:sp2:*:*:*:*:*:*;cpe:2.3:a:microsoft:powerpoint:2010:sp2:*:*:*:*:*:*;cpe:2.3:a:microsoft:powerpoint:2013:sp1:*:*:*:*:*:*;cpe:2.3:a:microsoft:powerpoint_rt:2013:sp1:*:*:*:*:*:*;cpe:2.3:a:microsoft:sharepoint_server:2010:sp2:*:*:*:*:*:*;cpe:2.3:a:microsoft:word:2010:sp2:*:*:*:*:*:*;cpe:2.3:a:microsoft:word:2013:sp1:*:*:*:*:*:*;cpe:2.3:a:microsoft:word:2016:*:*:*:*:*:*:*;cpe:2.3:a:microsoft:word_rt:2013:sp1:*:*:*:*:*:*,http://www.securityfocus.com/bid/91587;http://www.securitytracker.com/id/1036274;http://www.securitytracker.com/id/1036275;https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-088,"Microsoft Office 2010 SP2, Excel 2010 SP2, PowerPoint 2010 SP2, Word 2010 SP2, Excel 2013 SP1, PowerPoint 2013 SP1, Word 2013 SP1, Excel 2013 RT SP1, PowerPoint 2013 RT SP1, Word 2013 RT SP1, Excel 2016, Word 2016, Word Automation Services on SharePoint Server 2010 SP2, and Office Web Apps 2010 SP2 allow remote attackers to execute arbitrary code via a crafted XLA file, aka ""Microsoft Office Remote Code Execution Vulnerability.""",secure@microsoft.com,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2018-6766,TVM,2018-03-27T17:29:00.447,2026-06-17T02:02:14.593,Modified,HIGH,7.8,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-427,cpe:2.3:a:swisscom:tvmediahelper:1.1.0.50:*:*:*:*:*:*:*,https://www.swisscom.ch/content/dam/swisscom/de/about/nachhaltigkeit/digitale-schweiz/sicherheit/bug-bounty/files/cve-2018-6766_tvmediahelper.txt,"Swisscom TVMediaHelper 1.1.0.50 contains a vulnerability that could allow an unauthenticated, remote attacker to execute arbitrary code on the targeted system. This vulnerability exists due to the way .dll files are loaded. It allows an attacker to load a .dll of the attacker's choosing that could execute arbitrary code without the user's knowledge. The specific flaw exists within the handling of several DLLs (dwmapi.dll, PROPSYS.dll, cscapi.dll, SAMLIB.dll, netbios.dll, winhttp.dll, security.dll, ntmarta.dll, WindowsCodecs.dll, apphelp.dll) loaded by the SwisscomTVMediaHelper.exe process.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2018-10055,XLA,2019-04-24T17:29:00.270,2026-06-17T01:33:25.353,Modified,HIGH,8.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:H,CWE-119,cpe:2.3:a:google:tensorflow:*:*:*:*:*:*:*:*,https://github.com/tensorflow/tensorflow/blob/master/tensorflow/security/advisory/tfsa-2018-006.md,Invalid memory access and/or a heap buffer overflow in the TensorFlow XLA compiler in Google TensorFlow before 1.7.1 could cause a crash or read from other parts of process memory via a crafted configuration file.,cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2018-12162,OpenVINO,2018-09-12T19:29:01.497,2026-06-17T01:37:14.613,Modified,HIGH,7.8,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-732,cpe:2.3:a:intel:openvino_toolkit:*:*:*:*:*:windows:*:*,https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00172.html,Directory permissions in the Intel OpenVINO Toolkit for Windows before version 2018.1.265 may allow an authenticated user to potentially execute code using default directory permissions via local access.,secure@intel.com,OpenVINO,2026-09-21T18:43:55.486544+00:00
CVE-2019-0127,OpenVINO,2019-02-18T17:29:00.907,2026-06-17T02:07:45.370,Modified,LOW,3.9,CVSS:3.0/AV:P/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,,cpe:2.3:a:intel:openvino:2018:r1.1:*:*:*:*:*:*;cpe:2.3:a:intel:openvino:2018:r1.2:*:*:*:*:*:*;cpe:2.3:a:intel:openvino:2018:r2:*:*:*:*:*:*;cpe:2.3:a:intel:openvino:2018:r3:*:*:*:*:*:*;cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*,http://www.securityfocus.com/bid/107110;https://www.intel.com/content/www/us/en/security-center/advisory/INTEL-SA-00222.html,Logic error in the installer for Intel(R) OpenVINO(TM) 2018 R3 and before for Linux may allow a privileged user to potentially enable information disclosure via local access.,secure@intel.com,OpenVINO,2026-09-21T18:43:55.486544+00:00
CVE-2020-12287,OpenVINO,2020-08-13T03:15:12.413,2026-06-17T02:51:34.320,Modified,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-276,cpe:2.3:a:intel:distribution_of_openvino_toolkit:*:*:*:*:*:*:*:*,https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00399.html,Incorrect permissions in the Intel(R) Distribution of OpenVINO(TM) Toolkit before version 2020.2 may allow an authenticated user to potentially enable escalation of privilege via local access.,secure@intel.com,OpenVINO,2026-09-21T18:43:55.486544+00:00
CVE-2020-13825,TVM,2020-08-20T01:17:11.210,2026-06-17T02:53:43.593,Modified,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,cpe:2.3:a:i-doit:i-doit:*:*:*:*:*:*:*:*,https://www.wizlynxgroup.com/security-research-advisories/vuln/WLX-2020-005,"A cross-site scripting (XSS) vulnerability in i-doit 1.14.2 allows remote attackers to inject arbitrary web script or HTML via the viewMode, tvMode, tvType, objID, catgID, objTypeID, or editMode parameter.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2020-27483,TVM,2020-11-16T21:15:13.300,2026-06-17T03:09:15.067,Modified,CRITICAL,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,CWE-129,cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*;cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*,https://github.com/atredispartners/advisories/blob/master/ATREDIS-2020-0007.md,"Garmin Forerunner 235 before 8.20 is affected by: Array index error. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter trusts the offset provided for the stack value duplication instruction, DUP. The offset is unchecked and memory prior to the start of the execution stack can be read and treated as a TVM object. A successful exploit could use the vulnerability to leak runtime information such as the heap handle or pointer for a number of TVM context variables. Some reachable values may be controlled enough to forge a TVM object on the stack, leading to possible remote code execution.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2020-27484,TVM,2020-11-16T21:15:13.377,2026-06-17T03:09:15.183,Modified,CRITICAL,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,CWE-190,cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*;cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*,https://github.com/atredispartners/advisories/blob/master/ATREDIS-2020-0004.md,"Garmin Forerunner 235 before 8.20 is affected by: Integer Overflow. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter fails to check for overflow when allocating the array for the NEWA instruction. This a constrained read/write primitive across the entire MAX32630 address space. A successful exploit would allow a ConnectIQ app store application to escape and perform activities outside the restricted application execution environment.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2020-27485,TVM,2020-11-16T21:15:13.440,2026-06-17T03:09:15.293,Modified,CRITICAL,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,CWE-129,cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*;cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*,https://github.com/atredispartners/advisories/blob/master/ATREDIS-2020-0005.md,"Garmin Forerunner 235 before 8.20 is affected by: Array index error. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter fails to check the index provided when accessing the local variable in the LGETV and LPUTV instructions. This provides the ability to both read and write memory outside the bounds of the TVM context allocation. It can be leveraged to construct a use-after-free scenario, leading to a constrained read/write primitive across the entire MAX32630 address space. A successful exploit would allow a ConnectIQ app store application to escape and perform activities outside the restricted application execution environment.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2020-27486,TVM,2020-11-16T21:15:13.517,2026-06-17T03:09:15.403,Modified,CRITICAL,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,CWE-120,cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*;cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*,https://github.com/atredispartners/advisories/blob/master/ATREDIS-2020-0006.md,"Garmin Forerunner 235 before 8.20 is affected by: Buffer Overflow. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter trusts the string length provided in the data section of the PRG file. It allocates memory for the string immediately, and then copies the string into the TVM object by using a function similar to strcpy. This copy can exceed the length of the allocated string data and overwrite heap data. A successful exploit would allow a ConnectIQ app store application to escape and perform activities outside the restricted application execution environment.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2021-26251,OpenVINO,2022-11-11T16:15:10.840,2026-06-17T03:43:00.363,Modified,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-20,cpe:2.3:a:intel:openvino:*:*:*:*:*:*:*:*,https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00642.html,Improper input validation in the Intel(R) Distribution of OpenVINO(TM) Toolkit may allow an authenticated user to potentially enable denial of service via network access.,secure@intel.com,OpenVINO,2026-09-21T18:43:55.486544+00:00
CVE-2021-28977,XLA,2021-06-23T13:15:08.180,2026-06-17T03:47:07.277,Modified,MEDIUM,4.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N,CWE-79,cpe:2.3:a:get-simple:getsimplecms:*:*:*:*:*:*:*:*,https://github.com/GetSimpleCMS/GetSimpleCMS/issues/1336,"Cross Site Scripting vulnerability in GetSimpleCMS 3.3.16 in admin/upload.php by adding comments or jpg and other file header information to the content of xla, pages, and gzip files,",cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2021-33073,OpenVINO,2021-11-17T20:15:10.020,2026-06-17T03:54:06.127,Modified,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-400,cpe:2.3:a:intel:distribution_of_openvino_toolkit:*:*:*:*:*:*:*:*,https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00538.html,Uncontrolled resource consumption in the Intel(R) Distribution of OpenVINOâ„¢ Toolkit before version 2021.4 may allow an unauthenticated user to potentially enable denial of service via local access.,secure@intel.com,OpenVINO,2026-09-21T18:43:55.486544+00:00
CVE-2022-23595,XLA,2022-02-04T23:15:15.460,2026-06-17T04:30:26.460,Modified,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-476,cpe:2.3:a:google:tensorflow:*:*:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.7.0:*:*:*:*:*:*:*,https://github.com/tensorflow/tensorflow/blob/274df9b02330b790aa8de1cee164b70f72b9b244/tensorflow/compiler/jit/xla_platform_info.cc#L43-L104;https://github.com/tensorflow/tensorflow/commit/e21af685e1828f7ca65038307df5cc06de4479e8;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fpcp-9h7m-ffpx,"Tensorflow is an Open Source Machine Learning Framework. When building an XLA compilation cache, if default settings are used, TensorFlow triggers a null pointer dereference. In the default scenario, all devices are allowed, so `flr->config_proto` is `nullptr`. The fix will be included in TensorFlow 2.8.0. We will also cherrypick this commit on TensorFlow 2.7.1, TensorFlow 2.6.3, and TensorFlow 2.5.3, as these are also affected and still in supported range.",security-advisories@github.com,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2022-29203,XLA,2022-05-20T23:15:44.543,2026-06-17T04:39:48.787,Modified,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-190,cpe:2.3:a:google:tensorflow:*:*:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.7.0:rc0:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.7.0:rc1:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.8.0:-:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.8.0:rc0:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.8.0:rc1:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.9.0:rc0:*:*:*:*:*:*;cpe:2.3:a:google:tensorflow:2.9.0:rc1:*:*:*:*:*:*,https://github.com/tensorflow/tensorflow/blob/master/tensorflow/security/advisory/tfsa-2021-198.md;https://github.com/tensorflow/tensorflow/commit/acd56b8bcb72b163c834ae4f18469047b001fadf;https://github.com/tensorflow/tensorflow/releases/tag/v2.6.4;https://github.com/tensorflow/tensorflow/releases/tag/v2.7.2;https://github.com/tensorflow/tensorflow/releases/tag/v2.8.1;https://github.com/tensorflow/tensorflow/releases/tag/v2.9.0;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jjm6-4vf7-cjh4,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.SpaceToBatchND` (in all backends such as XLA and handwritten kernels) is vulnerable to an integer overflow: The result of this integer overflow is used to allocate the output tensor, hence we get a denial of service via a `CHECK`-failure (assertion failure), as in TFSA-2021-198. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",security-advisories@github.com,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2022-48340,XLA,2023-02-21T02:15:10.217,2026-06-17T05:15:11.683,Modified,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-416,cpe:2.3:a:gluster:glusterfs:11.0:-:*:*:*:*:*:*,https://github.com/gluster/glusterfs/issues/3732;https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/UE6K2DXP4QZVKP32Z7BSYDSRBL4H7JSE/,"In Gluster GlusterFS 11.0, there is an xlators/cluster/dht/src/dht-common.c dht_setxattr_mds_cbk use-after-free.",cve@mitre.org,XLA,2026-09-21T18:43:55.486544+00:00
CVE-2023-23299,TVM,2023-05-23T20:15:09.330,2026-06-17T05:36:49.007,Modified,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-863,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,https://developer.garmin.com/connect-iq/core-topics/manifest-and-permissions/;https://github.com/anvilsecure/garmin-ciq-app-research/blob/main/advisories/CVE-2023-23299.md,"The permission system implemented and enforced by the GarminOS TVM component in CIQ API version 1.0.0 through 4.1.7 can be bypassed entirely. A malicious application with specially crafted code and data sections could access restricted CIQ modules, call their functions and disclose sensitive data such as user profile information and GPS coordinates, among others.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2023-23301,TVM,2023-05-23T20:15:09.427,2026-06-17T05:36:49.317,Modified,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-125,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,https://github.com/anvilsecure/garmin-ciq-app-research/blob/main/advisories/CVE-2023-23301.md,"The `news` MonkeyC operation code in CIQ API version 1.0.0 through 4.1.7 fails to check that string resources are not extending past the end of the expected sections. A malicious CIQ application could craft a string that starts near the end of a section, and whose length extends past its end. Upon loading the string, the GarminOS TVM component may read out-of-bounds memory.",cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2023-23304,TVM,2023-05-23T20:15:09.573,2026-06-17T05:36:49.760,Modified,CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,CWE-863,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,https://developer.garmin.com/connect-iq/api-docs/Toybox/SensorHistory.html;https://github.com/anvilsecure/garmin-ciq-app-research/blob/main/advisories/CVE-2023-23304.md,The GarminOS TVM component in CIQ API version 2.1.0 through 4.1.7 allows applications with a specially crafted head section to use the `Toybox.SensorHistory` module without permission. A malicious application could call any functions from the `Toybox.SensorHistory` module without the user's consent and disclose potentially private or sensitive information.,cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2023-23305,TVM,2023-05-23T20:15:09.627,2026-06-17T05:36:49.953,Modified,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-120,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,https://github.com/anvilsecure/garmin-ciq-app-research/blob/main/advisories/CVE-2023-23305.md;https://github.com/anvilsecure/garmin-ciq-app-research/blob/main/poc/GRMN-06.prg,The GarminOS TVM component in CIQ API version 1.0.0 through 4.1.7 is vulnerable to various buffer overflows when loading binary resources. A malicious application embedding specially crafted resources could hijack the execution of the device's firmware.,cve@mitre.org,TVM,2026-09-21T18:43:55.486544+00:00
CVE-2023-25080,OpenVINO,2023-11-14T19:15:19.380,2026-06-17T05:40:38.090,Modified,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-693,cpe:2.3:a:intel:openvino:*:*:*:*:*:*:*:*,https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00901.html,Protection mechanism failure in some Intel(R) Distribution of OpenVINO toolkit software before version 2023.0.0 may allow an authenticated user to potentially enable information disclosure via local access.,secure@intel.com,OpenVINO,2026-09-21T18:43:55.486544+00:00
